Point No,X,Y
1,29652,4288
2,29782,4363
3,29652,4438
4,29782,4513
5,29652,4588
6,29782,4813
7,29652,4888
8,29652,5038
9,29782,5113
10,29652,5188
11,29782,5263
12,29652,5338
13,29782,5413
14,29652,5488
15,29782,5563
16,29652,5638
17,29782,5713
18,29652,5788
19,29782,5863
20,29652,5938
21,29782,6013
22,29652,6088
23,29782,6163
24,29652,6238
25,29782,6313
26,29652,6388
27,29782,6463
28,29652,6538
29,29782,6613
30,29652,6688
31,29782,6763
32,29652,6838
33,29782,6913
34,29652,6988
35,29782,7063
36,29652,7138
37,29782,7213
38,29652,7288
39,29782,7363
40,29652,7438
41,29782,7513
42,29652,7588
43,29782,7663
44,29652,7738
45,29782,7813
46,29652,7888
47,29782,7963
48,29652,8038
49,29782,8113
50,29652,8188
51,29782,8263
52,29652,8338
53,29782,8413
54,29652,8488
55,29782,8563
56,29652,8638
57,29782,8713
58,29652,8788
59,29782,8863
60,29652,8938
61,29782,9013
62,29652,9088
63,29782,9163
64,29652,9238
65,29782,9313
66,29652,9388
67,29782,9463
68,29652,9538
69,29782,9613
70,29652,9688
71,29782,9763
72,29652,9838
73,29782,9913
74,29652,9988
75,29782,10063
76,29652,10138
77,29782,10213
78,29652,10288
79,29782,10363
80,29652,10438
81,29782,10513
82,29652,10588
83,29782,10663
84,29652,10738
85,29782,10813
86,29652,10888
87,29782,10963
88,29652,11038
89,29782,11113
90,29652,11188
91,29782,11413
92,29652,11488
93,29782,11563
94,29652,11638
95,29782,11713
96,29912,4288
97,29912,4438
98,29912,4588
99,29912,4888
100,29912,5038
101,29912,5188
102,29912,5338
103,29912,5488
104,29912,5638
105,29912,5788
106,29912,5938
107,29912,6088
108,29912,6238
109,29912,6388
110,29912,6538
111,29912,6688
112,29912,6838
113,29912,6988
114,29912,7138
115,29912,7288
116,29912,7438
117,29912,7588
118,29912,7738
119,29912,7888
120,29912,8038
121,29912,8188
122,29912,8338
123,29912,8488
124,29912,8638
125,29912,8788
126,29912,8938
127,29912,9088
128,29912,9238
129,29912,9388
130,29912,9538
131,29912,9688
132,29912,9838
133,29912,9988
134,29912,10138
135,29912,10288
136,29912,10438
137,29912,10588
138,29912,10738
139,29912,10888
140,29912,11038
141,29912,11188
142,29912,11488
143,29912,11638
144,30172,4288
145,30302,4363
146,30172,4438
147,30302,4513
148,30172,4588
149,30302,4663
150,30172,11338
151,30302,11413
152,30172,11488
153,30172,11638
154,30302,11713
155,30432,4288
156,30562,4363
157,30432,4438
158,30562,4513
159,30432,4588
160,30562,4663
161,30432,11338
162,30562,11413
163,30432,11488
164,30562,11563
165,30432,11638
166,30562,11713
167,30692,4288
168,30822,4363
169,30692,4438
